trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,12,-51.57419378778893,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-110.48014888591808,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,8,-77.5107001739477,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-159.0675137766224,"{0: 25, 1: 1, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-138.11257354233828,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-216.0651164544459,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-118.70179816013155,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-116.40047581207011,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-44.97110442107197,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-50.08056474094979,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,16,9.72367766098239,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-63.655425146576476,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-70.04138431528519,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-71.01082694629068,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,3.1421609934100108,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-68.6020514823573,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,3,-39.03472215373476,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-53.50145361859079,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-29.280271057202075,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,9.24145993214505,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,12,13.950115802450636,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-44.64108110537915,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,27.027794599145633,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,2,11.140007793001974,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-24.206431068309193,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-36.33061069252807,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,7,12.677148348685906,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-37.59259798087114,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-16.778804515115006,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-57.9146619717389,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
