trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",35,0,-120.33441960896621,"{0: 25, 1: 3, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9990000000000001}",20,0,-66.65182001093305,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9985000000000002}",30,0,-144.61135519917,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9980000000000002}",25,0,-117.66565009898486,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9975000000000003}",25,0,-107.0551493768574,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9970000000000003}",30,0,-203.9730409065259,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9965000000000004}",25,0,-109.74597282139622,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9960000000000004}",20,0,-81.39197120460591,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9955000000000005}",20,0,-103.44138776090846,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9950000000000006}",30,0,-224.72386296810015,"{0: 18, 1: 3, 2: 3, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9945000000000006}",30,0,-145.96339712744148,"{0: 15, 1: 6, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9940000000000007}",30,0,-255.67190005192364,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9935000000000007}",20,0,-128.94176759664467,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9930000000000008}",20,0,-82.53761573272595,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9925000000000008}",30,0,-183.49110813677476,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9920000000000009}",30,0,-208.2719864781359,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9915000000000009}",25,7,-37.82320273619388,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.991000000000001}",25,0,-107.71966297746505,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.990500000000001}",20,0,-76.87815661100925,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9900000000000011}",20,0,-29.870196402585886,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9895000000000012}",20,0,-109.31827009471272,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9890000000000012}",30,0,-112.71460071186164,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9885000000000013}",30,0,-101.46659687676646,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9880000000000013}",20,0,-83.69359006213098,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9875000000000014}",25,0,-75.94678326097207,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9870000000000014}",25,0,-190.37875976680834,"{0: 11, 1: 0, 2: 12, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9865000000000015}",30,0,-161.08178551908233,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9860000000000015}",20,0,-201.90046059381154,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
29,False,"{'a': 0.5, 'e': 0.9855000000000016}",20,0,-81.55026507055666,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9850000000000017}",20,0,-117.6131198935915,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9845000000000017}",20,9,-4.640584845808274,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.9840000000000018}",20,0,-118.65883086398918,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9835000000000018}",25,0,-99.30958705145254,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9830000000000019}",20,0,-68.73767498472483,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9825000000000019}",25,0,-191.80889731051028,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",1
36,False,"{'a': 0.5, 'e': 0.982000000000002}",30,0,-248.65524295579945,"{0: 14, 1: 2, 2: 10, 3: 0, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.981500000000002}",25,0,-143.0581525792513,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9810000000000021}",25,0,-166.00308280197643,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.9805000000000021}",30,0,-185.47522220045246,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.9800000000000022}",25,5,-34.89184712848217,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.9795000000000023}",30,0,-89.86871898118784,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9790000000000023}",25,0,-53.22794630436753,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9785000000000024}",20,0,-93.63822768805382,"{0: 8, 1: 6, 2: 5, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9780000000000024}",35,0,-210.67147695829604,"{0: 22, 1: 3, 2: 6, 3: 0, 4: 4}",0
45,False,"{'a': 0.5, 'e': 0.9775000000000025}",30,0,-82.4296206865136,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9770000000000025}",20,0,-111.45866850761759,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9765000000000026}",30,0,-138.1508990796644,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9760000000000026}",25,0,-69.48269947052192,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9755000000000027}",20,0,-119.14126596772348,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9750000000000028}",20,0,-79.43925682002858,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9745000000000028}",25,0,-115.76079872886378,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9740000000000029}",30,0,-204.15204436076675,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
53,False,"{'a': 0.5, 'e': 0.9735000000000029}",20,0,-75.28365540572946,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.973000000000003}",25,16,-30.717399979344354,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.972500000000003}",20,0,-85.28896271912645,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9720000000000031}",20,0,-25.628771501718674,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9715000000000031}",25,0,-160.88683170417877,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
