trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.11198305851102,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5}",20,0,-71.85620851101052,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.16666666666666666}",20,0,-137.0116936663023,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.041666666666666664}",25,0,-23.89874728239378,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.008333333333333333}",30,0,-199.0219710347184,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.001388888888888889}",25,0,-88.09333106604048,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.0001984126984126984}",25,0,-16.015244749909076,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 2.48015873015873e-05}",25,0,-50.53649198797357,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 2.7557319223985893e-06}",25,0,-35.350454715066775,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 2.7557319223985894e-07}",25,0,-187.82251242963866,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 2.505210838544172e-08}",20,0,-182.21128400021752,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 2.08767569878681e-09}",25,0,-117.28570760251509,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.6059043836821616e-10}",20,0,-117.30083742105441,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.1470745597729726e-11}",25,14,-11.898697272344792,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 7.647163731819817e-13}",20,0,-29.980321350676753,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 4.779477332387386e-14}",20,0,-83.8101553400844,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 2.811457254345521e-15}",20,0,-96.69022168263122,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.5619206968586228e-16}",35,12,-64.25840363727585,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 8.220635246624331e-18}",20,0,-78.0008391489957,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 4.1103176233121653e-19}",30,0,-85.57963516634081,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-91.93898704028823,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-146.829869353758,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-154.7570592072578,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,12,-10.635870888695967,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-255.81809434432478,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 6}",0
6,True,"{'a': 0, 'e': 0}",25,0,-168.95007125392095,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-113.89914079078464,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",35,0,-161.51581596309725,"{0: 19, 1: 5, 2: 9, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,18,-46.47418825893144,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-63.77572320839768,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
